counter,phone_counter,userID,isLock,timestamp
55920,337,peppapig,1,1570161617
55921,338,peppapig,1,1570162234
55922,339,peppapig,0,1570162604
55927,340,peppapig,1,1570166356
55928,341,peppapig,0,1570166359
55929,342,peppapig,1,1570166507
55953,343,peppapig,0,1570174574
55954,344,peppapig,1,1570174667
55955,345,peppapig,0,1570174962
55956,346,peppapig,1,1570174999
55957,347,peppapig,0,1570175027
55958,348,peppapig,1,1570175031
55959,349,peppapig,0,1570175071
55960,350,peppapig,1,1570175089
55961,351,peppapig,1,1570175099
55962,352,peppapig,0,1570175674
55963,353,peppapig,1,1570175702
55964,354,peppapig,0,1570175775
55965,355,peppapig,1,1570175784
55966,356,peppapig,1,1570175835
55967,357,peppapig,0,1570176060
55968,358,peppapig,1,1570176074
55969,359,peppapig,0,1570176190
55970,360,peppapig,1,1570176198
55971,361,peppapig,0,1570176289
55972,362,peppapig,1,1570176292
55973,363,peppapig,0,1570176320
55974,364,peppapig,1,1570176504
55975,365,peppapig,0,1570176901
55976,366,peppapig,1,1570176913
55977,367,peppapig,1,1570177006
56004,368,peppapig,1,1570177347
56005,369,peppapig,0,1570178649
56006,370,peppapig,1,1570178661
56007,371,peppapig,1,1570179436
56008,372,peppapig,1,1570179647
56009,373,peppapig,0,1570179742
56010,374,peppapig,1,1570180009
56011,375,peppapig,0,1570180092
56012,376,peppapig,1,1570180520
56013,377,peppapig,0,1570180563
56014,378,peppapig,1,1570180591
56015,379,peppapig,0,1570180604
56016,380,peppapig,1,1570180631
56017,381,peppapig,0,1570180910
56044,382,peppapig,1,1570180953
56045,383,peppapig,1,1570181055
56046,384,peppapig,1,1570181177
56047,385,peppapig,1,1570181941
56048,386,peppapig,1,1570182045
56049,387,peppapig,1,1570182319
56050,388,peppapig,0,1570182330
56051,389,peppapig,1,1570182340
56052,390,peppapig,0,1570182915
56053,391,peppapig,1,1570182920
56054,392,peppapig,0,1570182944
56055,393,peppapig,1,1570182983
56056,394,peppapig,0,1570183068
56057,395,peppapig,1,1570183176
56058,396,peppapig,0,1570183236
56059,397,peppapig,1,1570183244
56060,398,peppapig,0,1570183250
56061,399,peppapig,1,1570183257
56062,400,peppapig,0,1570183668
56063,401,peppapig,1,1570183689
56143,402,peppapig,0,1570189191
56144,403,peppapig,1,1570189213
56145,404,peppapig,0,1570190408
56146,405,peppapig,1,1570192170
56147,406,peppapig,0,1570192181
56148,407,peppapig,1,1570192267
56149,408,peppapig,0,1570192324
56150,409,peppapig,1,1570192506
56175,410,peppapig,1,1570194182
56176,411,peppapig,1,1570194406
56177,412,peppapig,1,1570195777
56184,413,peppapig,1,1570197567
56185,414,peppapig,0,1570198060
56186,415,peppapig,1,1570198096
56187,416,peppapig,0,1570198289
56188,417,peppapig,1,1570198360
56189,418,peppapig,0,1570199414
56225,419,peppapig,1,1570201418
56226,420,peppapig,0,1570202525
56227,421,peppapig,1,1570203580
56228,422,peppapig,0,1570203850
56253,423,peppapig,1,1570204521
56254,424,peppapig,0,1570206418
56255,425,peppapig,1,1570207130
56263,426,peppapig,0,1570208799
56264,427,peppapig,1,1570208848
56277,428,peppapig,0,1570212611
56278,429,peppapig,1,1570212922
56279,430,peppapig,0,1570215415
56280,431,peppapig,1,1570215476
56281,432,peppapig,0,1570215748
56282,433,peppapig,1,1570215971
56283,434,peppapig,0,1570216153
56284,435,peppapig,1,1570216178
56310,436,peppapig,0,1570216983
56311,437,peppapig,1,1570216999
56312,438,peppapig,1,1570218107
56321,439,peppapig,1,1570248015
56322,440,peppapig,0,1570248296
56323,441,peppapig,1,1570248313
56348,442,peppapig,0,1570256621
56349,443,peppapig,1,1570256822
56350,444,peppapig,1,1570257039
56351,445,peppapig,0,1570257053
56363,446,peppapig,1,1570262567
56364,447,peppapig,0,1570263294
56365,448,peppapig,1,1570263301
56366,449,peppapig,0,1570263570
56367,450,peppapig,1,1570263584
56368,451,peppapig,1,1570264063
56369,452,peppapig,0,1570265115
56370,453,peppapig,1,1570265138
56371,454,peppapig,0,1570265234
56372,455,peppapig,1,1570265334
56373,456,peppapig,0,1570265506
56381,457,peppapig,1,1570265557
56382,458,peppapig,0,1570265611
56383,459,peppapig,1,1570265670
56384,460,peppapig,0,1570266091
56385,461,peppapig,1,1570266103
56386,462,peppapig,0,1570266138
56387,463,peppapig,1,1570266200
56388,464,peppapig,0,1570266205
56389,465,peppapig,1,1570266231
56390,466,peppapig,0,1570266487
56391,467,peppapig,1,1570266536
56392,468,peppapig,1,1570267062
56393,469,peppapig,0,1570267318
56394,470,peppapig,1,1570267526
56395,471,peppapig,0,1570268164
56396,472,peppapig,1,1570268243
56397,473,peppapig,0,1570268555
56398,474,peppapig,1,1570268730
56399,475,peppapig,0,1570269008
56400,476,peppapig,1,1570269091
56401,477,peppapig,0,1570269144
56415,478,peppapig,1,1570269735
56416,479,peppapig,0,1570270792
56417,480,peppapig,1,1570271719
56418,481,peppapig,0,1570271865
56419,482,peppapig,1,1570272420
56420,483,peppapig,0,1570273032
56421,484,peppapig,1,1570273034
56422,485,peppapig,0,1570273148
56423,486,peppapig,1,1570273176
56424,487,peppapig,0,1570273206
56425,488,peppapig,1,1570273212
56426,489,peppapig,0,1570273777
56427,490,peppapig,1,1570273840
56428,491,peppapig,0,1570273923
56429,492,peppapig,1,1570274739
56430,493,peppapig,0,1570275584
56431,494,peppapig,1,1570276341
56432,495,peppapig,0,1570276948
56433,496,peppapig,1,1570276966
56434,497,peppapig,0,1570276967
56435,498,peppapig,1,1570277005
56436,499,peppapig,0,1570278317
56437,500,peppapig,1,1570278324
56438,501,peppapig,1,1570280281
56439,502,peppapig,1,1570281013
56440,503,peppapig,1,1570281148
56441,504,peppapig,0,1570281436
56442,505,peppapig,1,1570281439
56443,506,peppapig,1,1570281823
56444,507,peppapig,1,1570281995
56445,508,peppapig,0,1570282011
56446,509,peppapig,1,1570282018
56447,510,peppapig,0,1570282168
56448,511,peppapig,1,1570282334
56449,512,peppapig,0,1570282337
56450,513,peppapig,1,1570282687
56451,514,peppapig,0,1570282731
56452,515,peppapig,1,1570282963
56453,516,peppapig,0,1570283095
56454,517,peppapig,1,1570284606
56471,518,peppapig,0,1570285693
56472,519,peppapig,1,1570285824
56496,520,peppapig,0,1570289361
56497,521,peppapig,1,1570290158
56498,522,peppapig,0,1570292245
56499,523,peppapig,1,1570292392
56542,524,peppapig,0,1570294026
56629,525,peppapig,1,1570297826
56630,526,peppapig,0,1570299071
56631,527,peppapig,1,1570299658
56632,528,peppapig,1,1570299680
56633,529,peppapig,0,1570299703
56634,530,peppapig,1,1570300720
56635,531,peppapig,1,1570300862
56706,532,peppapig,1,1570329305
56707,533,peppapig,1,1570329443
56708,534,peppapig,0,1570329444
56709,535,peppapig,1,1570329665
56710,536,peppapig,1,1570330794
56711,537,peppapig,1,1570330877
56712,538,peppapig,1,1570330971
56713,539,peppapig,0,1570331024
56714,540,peppapig,1,1570333414
56715,541,peppapig,1,1570334418
56716,542,peppapig,0,1570335621
56717,543,peppapig,1,1570335932
56718,544,peppapig,0,1570335986
56719,545,peppapig,1,1570336331
56720,546,peppapig,0,1570336365
56721,547,peppapig,1,1570336445
56722,548,peppapig,0,1570340729
56727,549,peppapig,1,1570340797
56728,550,peppapig,0,1570341176
